Week,Study Area,Task,Status
"March 20, 2026",Math,Math: 1 practice session (5x/week),Pending
"March 20, 2026",Math,**Math:** Complete mom's assigned math work,Pending
"March 20, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"March 20, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"March 20, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"March 20, 2026",STEM,**STEM:** Complete the **[Perfect 3-Car Collection](../../assignments/perfect-3-car-collection/README.md)** Assignment (Due today! Use **[car-brands.html](../../assignments/perfect-3-car-collection/car-brands.html)**),Pending
"March 20, 2026",STEM,**Science:** **[Week 01 Science Quiz](./grade-4/stem/quizzes/week-01_quiz.md)**,Pending
"March 20, 2026",Language Arts,**Language Arts:** Complete mom's assigned reading and grammar work,Pending
"March 20, 2026",Language Arts,"**Language Arts:** Weekly Video Review (save in `./grade-4/language-arts/video-reviews`, use template)",Pending
"March 20, 2026",Social Studies,**Social Studies:** [Weekly Reading & Quiz](./grade-4/social-studies/quizzes/2026-03-20_quiz.md),Pending
"March 20, 2026",Other Assignments / Focus,**Assessment:** [Take the Weekly Math Quiz](./grade-4/math/quizzes/2026-03-20_quiz.md),Pending
"March 27, 2026",Math,Math: 1 practice session (5x/week),Pending
"March 27, 2026",Math,**Math**: Complete End-of-Week Review Quiz: **[March 27 Quiz](./grade-4/math/quizzes/2026-03-27_quiz.md)**.,Pending
"March 27, 2026",Spanish,Duolingo: 1 Spanish lesson (5x/week),Pending
"March 27, 2026",Logic / Chess,Chess: 1 lesson or game with review (5x/week),Pending
"March 27, 2026",Music / Piano,Piano: 1 practice session (5x/week),Pending
"March 27, 2026",STEM,**Science:** **[Week 02 Science Quiz](./grade-4/stem/quizzes/week-02_quiz.md)**,Pending
"March 27, 2026",STEM,**Biology:** **[Water Cycle — Model & Explain](./grade-4/stem/assignments/water-cycle.md)**. Draw and label the cycle; write a short Sun‑power note.,Pending
"March 27, 2026",Other / Helpers,Use the **[Resource Finder](../../teachers/ai-assistants/resource_finder.md)** to pick 2 kid‑friendly videos for the Water Cycle.,Pending
"March 27, 2026",Language Arts,**Language Arts**: Submit Final Draft of Essay.,Pending
"March 27, 2026",Language Arts,"**Language Arts:** Weekly Video Review (save in `./grade-4/language-arts/video-reviews`, use template)",Pending
"March 27, 2026",Social Studies,**Social Studies:** Complete **[March 27 Reading & Quiz](./grade-4/social-studies/quizzes/2026-03-27_quiz.md)**.,Pending
"March 27, 2026",Social Studies,**Social Studies:** **[Black Excellence — Research Project](../../assignments/social-studies/black-excellence-research/README.md)** (due this week),Pending
"March 27, 2026",Other Assignments / Focus,**Curriculum**: Complete regular book learning.,Pending
